Item	Question	Answer
cheetah	is it a prey or a predator?	captivity, predators, wild predators, large territories, same problemsolving abilities, other predators, habitat, habitat loss, cities
cheetah	does it have wings legs or fins?	captivity, legs, wings, fins, large territories, same problemsolving abilities, illegal wildlife trade, habitat, habitat loss, cities
cheetah	in what continents does it predominantly live?	captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	is it considered dangerous to humans?	humans, captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities, many places
cheetah	is it eaten by humans?	humans, captivity, significant threat, great distances, large territories, same problemsolving abilities, distinguishable feature, feature is speed, threats, habitat, habitat loss, cities, many places
cheetah	is the animal capable of jumping?	open grasslands, excellent jumpers, aquatic animals, arctic animals, fastest land animals, wild animals
cheetah	is it taller than humans on average?	humans, captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities, many places
cheetah	does it live in groups?	captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	is it commonly kept as a pet?	captivity, common pets, pets, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	does it migrate long distances?	captivity, great distances, long distances, large territories, same problemsolving abilities, habitat, habitat loss, cities, body length
cheetah	is it known for its intelligence?	captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	is it an endangered species?	captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	is it a nocturnal animal?	captivity, large territories, same problemsolving abilities, aquatic animals, arctic animals, habitat, habitat loss, cities, fastest land animals, wild animals
cheetah	does it hibernate?	captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	does it have sharp teeth?	captivity, large territories, same problemsolving abilities, sharp adapted teeth, habitat, habitat loss, cities
cheetah	does it have sharp claws?	captivity, large territories, same problemsolving abilities, sharp adapted teeth, retractable claws, habitat, habitat loss, cities
cheetah	is it a feline?	captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	is it an amphibian?	captivity, large territories, same problemsolving abilities, amphibians, habitat, habitat loss, cities
cheetah	is it a reptile?	captivity, large territories, same problemsolving abilities, reptiles, habitat, habitat loss, cities
cheetah	what is its most distinguishable feature?	distinctive spots, distinguishable feature, feature is speed, distinctive coat
cheetah	does it have cold or warm blood?	captivity, large territories, same problemsolving abilities, warm blood, habitat, habitat loss, cities
cheetah	does it hunt in a group?	captivity, large territories, intelligent hunters, same problemsolving abilities, habitat, habitat loss, cities
cheetah	how does it communicate with others of its kind?	captivity, mothers, large territories, same problemsolving abilities, other predators, other big cats, habitat, habitat loss, cities
cheetah	does it have scales?	captivity, large territories, same problemsolving abilities, scales, habitat, habitat loss, cities
cheetah	is the animal aquatic?	aquatic animals, arctic animals, fastest land animals, wild animals
cheetah	is this an arctic animal?	aquatic animals, arctic animals, fastest land animals, wild animals
cheetah	is this animal exploited by humans?	humans, distinguishable feature, feature is speed, aquatic animals, arctic animals, fastest land animals, wild animals, many places
cheetah	does the animal live in cities?	aquatic animals, arctic animals, cities, fastest land animals, wild animals
cheetah	does this animal fly?	aquatic animals, arctic animals, fastest land animals, wild animals
cheetah	how fast is it?	captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	what are its dimensions?	
cheetah	does the animal have moist or scaly skin?	aquatic animals, arctic animals, fastest land animals, skin, wild animals
cheetah	can the animal echolocate?	aquatic animals, arctic animals, fastest land animals, wild animals
cheetah	can the animal metamorphose?	aquatic animals, arctic animals, fastest land animals, wild animals
cheetah	can the animal be typically found in a circus?	aquatic animals, arctic animals, fastest land animals, wild animals, circuses
gorilla	is it a carnivore or herbivore?	herbivores, fruits, habitat, habitat loss, jumping abilities, problemsolving abilities, habitat destruction, carnivores, authority, cities, captivity, agility
gorilla	is it a vertebrate or invertebrate?	vertebrates, fruits, habitat, habitat loss, jumping abilities, problemsolving abilities, habitat destruction, authority, cities, captivity, agility
gorilla	has it ever been domesticated?	fruits, habitat, habitat loss, jumping abilities, problemsolving abilities, habitat destruction, authority, cities, captivity, agility
gorilla	is it a mammal?	mammals, fruits, habitat, habitat loss, jumping abilities, problemsolving abilities, habitat destruction, authority, cities, captivity, agility
gorilla	does it have fur?	dense covering fur, fruits, habitat, habitat loss, jumping abilities, problemsolving abilities, habitat destruction, authority, cities, captivity, agility
gorilla	in which environments does it live?	fruits, habitat, habitat loss, jumping abilities, problemsolving abilities, habitat destruction, authority, aquatic environments, cities, captivity, agility, forest environment
gorilla	what does it eat?	fruits, threats, habitat, habitat loss, jumping abilities, problemsolving abilities, habitat destruction, distinguishable feature, feature is hair, authority, cities, captivity, agility
